order,start_time,end_time,collection_key,subject,behavior_label,units,event_timestamps,cluster
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,190,[],27
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,259,[],27
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,256,[],27
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,197,[],27
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,261,[],27
,27433.0,33833.0,20230803_101331_1_merged.rec,1.1,acquisition,255,[],27
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,2,"[4835.0, 20101.0, 20393.0]",29
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,26,"[8261.0, 8495.0, 10345.0, 10858.0, 13696.0, 14012.0, 15586.0, 15796.0, 16025.0, 17591.0, 17832.0, 18845.0, 19611.0]",3
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,196,"[323.0, 778.0, 1403.0, 1857.0, 2638.0, 2937.0, 3592.0, 5048.0, 5340.0, 6122.0, 7136.0, 8765.0, 9197.0, 9392.0, 10191.0, 10999.0, 12242.0, 12680.0, 15859.0, 17267.0, 18771.0, 19150.0, 19572.0, 20363.0]",18
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,113,"[1836.0, 5249.0]",30
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,91,"[3799.0, 6311.0]",30
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,267,"[1823.0, 2000.0, 2878.0, 4923.0, 5699.0, 6977.0, 7079.0, 7631.0, 8811.0, 9064.0, 9991.0, 10907.0, 11513.0, 11745.0, 13202.0, 13448.0, 14159.0, 14335.0, 14995.0, 15464.0, 17777.0, 18746.0, 19644.0, 19869.0]",18
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,80,[],27
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,15,"[1576.0, 3962.0, 6695.0, 8433.0, 9537.0, 10467.0, 10924.0, 11236.0, 13961.0, 14087.0, 15445.0, 17251.0, 19744.0, 20177.0]",4
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,17,"[287.0, 801.0, 3885.0, 6221.0, 6571.0, 6721.0, 7245.0, 7291.0, 8563.0, 9699.0, 10826.0, 13300.0, 13380.0, 14935.0, 15892.0, 16120.0, 16226.0, 16362.0, 16464.0, 16872.0, 19497.0, 20440.0]",23
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,29,"[881.0, 11284.0, 15053.0, 19101.0, 20339.0]",37
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,41,"[1185.0, 3658.0, 4457.0, 6493.0, 18393.0]",37
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,136,[10309.0],28
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,25,"[5273.0, 6808.0, 8005.0, 9962.0, 12326.0, 13324.0, 14914.0, 15269.0, 18443.0, 19185.0]",44
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,16,"[921.0, 3203.0, 3364.0, 4095.0, 6989.0, 7771.0, 13368.0, 17552.0, 17795.0, 19698.0]",44
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,79,"[8682.0, 14348.0]",30
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,266,[],27
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,137,[],27
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,188,[6137.0],28
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,180,"[4776.0, 11780.0, 12840.0, 14601.0, 16889.0]",37
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,248,"[4684.0, 5218.0, 11180.0]",29
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,163,[],27
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,178,"[8395.0, 9183.0, 17338.0, 17969.0, 18832.0]",37
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,202,[],27
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,57,[1907.0],28
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,56,[10378.0],28
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,102,[],27
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,141,"[8456.0, 12568.0]",30
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,28,"[2119.0, 13544.0]",30
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,73,[],27
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,40,"[17138.0, 19521.0]",30
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,112,[],27
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,173,[5650.0],28
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,166,"[1230.0, 7543.0, 9769.0]",29
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,165,"[18524.0, 19295.0, 20525.0]",29
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,69,[],27
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,71,[1263.0],28
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,200,[10570.0],28
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,34,[16446.0],28
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,181,[20151.0],28
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,138,[],27
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,260,[],27
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,171,[],27
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,226,[],27
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,175,[],27
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,27,[],27
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,155,[],27
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,190,[],27
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,259,[],27
,69667.0,70367.0,20230803_101331_1_merged.rec,1.1,acquisition,256,[],27
